date,AUS,AUT,BEL,CAN,DEU,DNK,ESP,FIN,FRA,GBR,IRL,ITA,JPN,NLD,PRT,SWE,USA
1990-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
1990-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
1990-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15
1991-01-01,0.0,0.0,0.0,0.011,-0.25,0.0,0.0,0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.597826
1991-04-01,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-07-01,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-10-01,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.115,-0.25,0.0,0.0,0.0,-0.45499999999999996,0.0,-0.125,0.0,0.0,0.0
1992-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0,0.0,0.0,-0.475,0.0,-0.125,0.0,0.0,0.0
1992-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0,0.0,0.0,-0.475,0.0,-0.125,0.0,0.0,0.0
1992-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,-0.25,0.0,0.0,0.0,-0.475,0.0,-0.125,0.0,0.0,0.0
1993-01-01,0.0,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.5,0.0,0.0,0.0,-0.5,-0.1
1993-04-01,0.0,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,-0.1
1993-07-01,0.0,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,0.924781
1993-10-01,0.0,0.0,-0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,-0.614691
1994-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,-0.01,0.0,-0.005,0.193894
1994-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-01,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.3,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.325,0.0
1995-04-01,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.3,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.325,0.0
1995-07-01,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.3,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.325,0.0
1995-10-01,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-0.3,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.325,0.0
1996-01-01,0.0,-0.25,0.0,-0.44999999999999996,-0.15,0.0,-0.175,0.0,-0.225,0.0,0.0,-0.375,0.0,0.0,0.0,-0.375,0.0
1996-04-01,0.0,-0.25,0.0,-0.44999999999999996,-0.15,0.0,-0.175,0.0,-0.225,0.0,0.0,-0.375,0.0,0.0,0.0,-0.375,0.0
1996-07-01,0.0,-0.25,0.0,-0.44999999999999996,-0.15,0.0,-0.175,0.0,-0.225,0.0,0.0,-0.375,0.0,0.0,0.0,-0.375,0.0
1996-10-01,0.0,-0.25,0.0,-0.44999999999999996,-0.15,0.0,-0.175,0.0,-0.225,0.0,0.0,-0.375,0.0,0.0,0.0,-0.375,0.0
1997-01-01,0.0,0.0,0.0,-0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.385,-0.235,0.0,0.0,0.0,0.0
1997-04-01,0.0,0.0,0.0,-0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.25,0.0,0.0,0.0,0.0
1997-07-01,0.0,0.0,0.0,-0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.25,0.0,0.0,0.0,0.0
1997-10-01,0.0,0.0,0.0,-0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.25,0.0,0.0,0.0,0.0
1998-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
