beta,se_dk,lo_dk,hi_dk,p_wc,n_obs,n_clusters,spec,h,cluster
0.025681202456548653,0.01327869297422599,0.0038396961567180067,0.0475227087563793,0.185,6324,12,hr_sent_district,8,district
0.0432105170960649,0.01882457748404209,0.012246842545609257,0.07417419164652055,0.166,6273,12,hr_sent_district,9,district
0.029679279520918155,0.01142431335729661,0.01088795625973868,0.04847060278209763,0.102,6222,12,hr_sent_district,10,district
0.026922583768229934,0.009998580468216561,0.010476382420717776,0.04336878511574209,0.096,6171,12,hr_sent_district,11,district
0.025681392697356902,0.010560131593362533,0.008311521944929713,0.04305126344978409,0.089,6120,12,hr_sent_district,12,district
0.005198367315184326,0.005939345811595086,-0.004570987184736885,0.014967721815105538,0.505,6732,132,hr_unc_quarter,0,quarter
0.001876394115431524,0.008712565995618132,-0.012454501662515022,0.01620728989337807,0.838,6681,131,hr_unc_quarter,1,quarter
0.010570870763967146,0.010680642585721352,-0.00699722293132897,0.028138964459263262,0.426,6630,130,hr_unc_quarter,2,quarter
0.015063699177997271,0.012966107091681936,-0.006263649099196961,0.036391047455191505,0.314,6579,129,hr_unc_quarter,3,quarter
0.015613871246113496,0.012578595241783065,-0.005076076759287906,0.03630381925151489,0.304,6528,128,hr_unc_quarter,4,quarter
0.015972786191758397,0.012827615890665693,-0.005126764331143403,0.037072336714660196,0.298,6477,127,hr_unc_quarter,5,quarter
0.011452166408352355,0.013922328603909774,-0.01144802629139886,0.03435235910810357,0.465,6426,126,hr_unc_quarter,6,quarter
0.022138188347765403,0.01864765249180085,-0.00853447048750388,0.052810847183034686,0.256,6375,125,hr_unc_quarter,7,quarter
0.009617868363995818,0.01465219717344536,-0.014482851299553887,0.03371858802754552,0.537,6324,124,hr_unc_quarter,8,quarter
0.003960284454906317,0.013360842635604305,-0.018016346013395287,0.025936914923207925,0.8,6273,123,hr_unc_quarter,9,quarter
0.00706380993758224,0.014225906519239065,-0.01633572399726073,0.030463343872425205,0.64,6222,122,hr_unc_quarter,10,quarter
0.011049606502884184,0.01562875361441957,-0.01465740556452477,0.03675661857029314,0.494,6171,121,hr_unc_quarter,11,quarter
0.007135757075126901,0.016318184244579093,-0.019705267464831384,0.03397678161508519,0.681,6120,120,hr_unc_quarter,12,quarter
0.01087812740377037,0.005799970165470903,0.0013380254408852255,0.020418229366655515,0.111,6732,132,hr_sent_quarter,0,quarter
0.004006713514464766,0.017575272739472167,-0.02490203759571736,0.032915464624646895,0.848,6681,131,hr_sent_quarter,1,quarter
0.013916921488867359,0.015731238412194593,-0.011958663069869233,0.039792506047603954,0.46,6630,130,hr_sent_quarter,2,quarter
0.018562622627179236,0.01603475874554686,-0.007812208452725351,0.044937453707083824,0.32,6579,129,hr_sent_quarter,3,quarter
0.021412616155053354,0.01538767786435759,-0.003897861590496106,0.046723093900602815,0.233,6528,128,hr_sent_quarter,4,quarter
0.026428607639591508,0.016287171817802995,-0.0003614059977035469,0.05321862127688656,0.179,6477,127,hr_sent_quarter,5,quarter
0.02044207808905964,0.015827340429692697,-0.005591580221716061,0.04647573639983534,0.251,6426,126,hr_sent_quarter,6,quarter
0.01493633702709591,0.013684418480832336,-0.00757252834382291,0.03744520239801473,0.401,6375,125,hr_sent_quarter,7,quarter
0.025681202456548653,0.01327869297422599,0.0038396961567180067,0.0475227087563793,0.263,6324,124,hr_sent_quarter,8,quarter
