date,district,value,n_docs,n_sections
1982-10-01,Kansas City,0.0,2,1
1982-10-01,Minneapolis,0.0,10,4
1982-10-01,New York,0.015384615384615385,13,4
1982-10-01,Philadelphia,0.0,9,5
1982-10-01,Richmond,0.0,13,4
1982-10-01,San Francisco,0.0,18,5
1982-10-01,St. Louis,0.0,2,1
1983-01-01,Atlanta,0.0,2,1
1983-01-01,Boston,0.0,6,3
1983-01-01,Chicago,0.0,2,1
1983-01-01,Cleveland,0.0,2,1
1983-01-01,Dallas,0.0,14,5
1983-01-01,Kansas City,0.0,2,1
1983-01-01,Minneapolis,0.0,11,4
1983-01-01,New York,0.0,12,4
1983-01-01,Philadelphia,0.0,10,5
1983-01-01,Richmond,0.0,12,4
1983-01-01,San Francisco,0.0,14,5
1983-01-01,St. Louis,0.0,2,1
1983-04-01,Atlanta,0.0,1,1
1983-04-01,Boston,0.0,4,4
1983-04-01,Chicago,0.0,1,1
1983-04-01,Cleveland,0.0,1,1
1983-04-01,Dallas,0.0,1,1
1983-04-01,Kansas City,0.0,1,1
1983-04-01,Minneapolis,0.0,6,4
1983-04-01,New York,0.0,7,4
1983-04-01,Philadelphia,0.0,5,5
1983-04-01,Richmond,0.0,5,3
1983-04-01,San Francisco,0.0,18,6
1983-04-01,St. Louis,0.0,1,1
1983-07-01,Atlanta,0.004901960784313725,3,1
1983-07-01,Boston,0.0,13,6
1983-07-01,Chicago,0.0,3,1
1983-07-01,Cleveland,0.0,3,1
1983-07-01,Dallas,0.0,3,1
1983-07-01,Kansas City,0.0,3,1
1983-07-01,Minneapolis,0.0,8,5
1983-07-01,New York,0.0,20,6
1983-07-01,Philadelphia,0.0,17,5
1983-07-01,Richmond,0.0,13,4
1983-07-01,San Francisco,0.0,18,5
1983-07-01,St. Louis,0.0,23,5
1983-10-01,Atlanta,0.0,2,1
1983-10-01,Boston,0.0,10,5
1983-10-01,Chicago,0.0,3,2
1983-10-01,Cleveland,0.0,2,1
1983-10-01,Dallas,0.0,2,1
1983-10-01,Kansas City,0.0,2,1
1983-10-01,Minneapolis,0.0,2,1
1983-10-01,New York,0.008333333333333333,10,4
1983-10-01,Philadelphia,0.0,10,5
1983-10-01,Richmond,0.0,8,4
1983-10-01,San Francisco,0.0,14,5
1983-10-01,St. Louis,0.0,15,6
1984-01-01,Atlanta,0.0,2,1
1984-01-01,Boston,0.0,8,5
1984-01-01,Chicago,0.0,2,1
1984-01-01,Cleveland,0.0,2,1
1984-01-01,Dallas,0.0,14,5
1984-01-01,Kansas City,0.0,2,1
1984-01-01,Minneapolis,0.0,11,6
1984-01-01,New York,0.0,10,3
1984-01-01,Philadelphia,0.0,9,5
