beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
0.04479299516757836,0.05008775441770408,-0.0375940293522368,0.12718001968739354,1.5446337595444222,0.336,5715,45,12,A_own,mining,5
0.0630737691106822,0.046081751232736286,-0.012723966540759538,0.13887150476212395,2.7299197655542877,0.19,5670,45,12,A_own,mining,6
0.05793448305176933,0.04052796003377502,-0.00872807900272981,0.12459704510626846,1.8523647917461927,0.245,5625,45,12,A_own,mining,7
0.03807008695162025,0.0428467524929828,-0.03240654928955453,0.10854672319279504,1.1045103420755258,0.347,5580,45,12,A_own,mining,8
0.02996107583616722,0.04404552132053313,-0.04248735965888009,0.10240951133121454,0.8239617146813631,0.407,5535,45,12,A_own,mining,9
0.021917227699997304,0.04611469934817487,-0.05393470277862482,0.09776915817861943,0.7457548660542362,0.468,5490,45,12,A_own,mining,10
0.039198166854912425,0.04400873003023244,-0.03318975235284356,0.11158608606266841,1.2937113753478797,0.3,5445,45,12,A_own,mining,11
0.002794695182420759,0.04251401532210798,-0.06713463711641901,0.07272402748126053,0.10325933730578934,0.923,5400,45,12,A_own,mining,12
0.0046149714305469955,0.013508797328707032,-0.01760502285132912,0.026834965712423112,0.16912703329329656,0.933,5940,45,12,A_own,construction,0
0.029676616214218215,0.024031589815403234,-0.009851831455057851,0.06920506388349429,1.3413429654129176,0.298,5895,45,12,A_own,construction,1
0.011039011072770492,0.02247395410816213,-0.02592735385398092,0.048005375999521906,0.812316249392946,0.502,5850,45,12,A_own,construction,2
-0.0031140924689403524,0.027956318987562376,-0.04909814515184463,0.04286996021396393,-0.21766153753286022,0.831,5805,45,12,A_own,construction,3
-0.014554243738523754,0.03509144947962603,-0.07227454169007097,0.04316605421302347,-0.8897993776125992,0.579,5760,45,12,A_own,construction,4
-0.0009828164931874812,0.03467020745252941,-0.058010232968640434,0.05604459998226547,-0.053204242864267955,0.962,5715,45,12,A_own,construction,5
0.011069331822430405,0.034891068244829224,-0.04632136832828827,0.06846003197314908,0.7134157793596961,0.614,5670,45,12,A_own,construction,6
0.012067419585087155,0.03193719100007944,-0.04046458486603542,0.06459942403620973,0.6092099902962387,0.657,5625,45,12,A_own,construction,7
-0.001217442583006739,0.03169094341257316,-0.053344405796691564,0.050909520630678086,-0.06300927069730489,0.961,5580,45,12,A_own,construction,8
-0.0039408241971848465,0.03222371320343286,-0.05694411573369543,0.04906246733932573,-0.1762626783672289,0.885,5535,45,12,A_own,construction,9
0.009652855782567285,0.032725119191140184,-0.04417517521139887,0.06348088677653344,0.4967321867194225,0.627,5490,45,12,A_own,construction,10
0.028631143423526375,0.035836202682288265,-0.030314164534603543,0.08757645138165629,1.4716455927373222,0.316,5445,45,12,A_own,construction,11
0.003486730234474756,0.034176877344292186,-0.05272923042315984,0.05970269089210935,0.19456515510111047,0.835,5400,45,12,A_own,construction,12
0.036954812092467614,0.02387518224888352,-0.002316368023735846,0.07622599220867107,0.7123364916159564,0.872,5940,45,12,A_own,trade_transport,0
0.02853391966910206,0.03505133874811087,-0.02912040200023278,0.0861882413384369,0.9897727204182343,0.43,5895,45,12,A_own,trade_transport,1
0.027345554242769937,0.04438181003456304,-0.045656026963252314,0.10034713544879219,1.6722722960200984,0.198,5850,45,12,A_own,trade_transport,2
