code,periodo,valor,variable,price_base
IDN,2013-Q3,2052231834.9,gdp_vol,Q
IDN,2013-Q4,2078389167.2,gdp_vol,Q
IDN,2014-Q1,2103242353.3,gdp_vol,Q
IDN,2014-Q2,2128987700.5,gdp_vol,Q
IDN,2014-Q3,2154020904.1,gdp_vol,Q
IDN,2014-Q4,2178615642.0,gdp_vol,Q
IDN,2015-Q1,2205428638.1,gdp_vol,Q
IDN,2015-Q2,2230976381.8,gdp_vol,Q
IDN,2015-Q3,2258579199.3,gdp_vol,Q
IDN,2015-Q4,2287532880.8,gdp_vol,Q
IDN,2016-Q1,2314818296.5,gdp_vol,Q
IDN,2016-Q2,2344644370.3,gdp_vol,Q
IDN,2016-Q3,2373238785.4,gdp_vol,Q
IDN,2016-Q4,2401911947.7,gdp_vol,Q
IDN,2017-Q1,2432412007.9,gdp_vol,Q
IDN,2017-Q2,2462033897.1,gdp_vol,Q
IDN,2017-Q3,2493343946.0,gdp_vol,Q
IDN,2017-Q4,2525138248.9,gdp_vol,Q
IDN,2018-Q1,2557067719.8,gdp_vol,Q
IDN,2018-Q2,2589853860.1,gdp_vol,Q
IDN,2018-Q3,2622737460.5,gdp_vol,Q
IDN,2018-Q4,2656192859.6,gdp_vol,Q
IDN,2019-Q1,2689375112.4,gdp_vol,Q
IDN,2019-Q2,2722616908.9,gdp_vol,Q
IDN,2019-Q3,2754072774.5,gdp_vol,Q
IDN,2019-Q4,2783090604.2,gdp_vol,Q
IDN,2020-Q1,2765766066.6,gdp_vol,Q
IDN,2020-Q2,2577176022.7,gdp_vol,Q
IDN,2020-Q3,2660518545.4,gdp_vol,Q
IDN,2020-Q4,2719538665.3,gdp_vol,Q
IDN,2021-Q1,2747386950.5,gdp_vol,Q
IDN,2021-Q2,2761746203.8,gdp_vol,Q
IDN,2021-Q3,2768068745.1,gdp_vol,Q
IDN,2021-Q4,2842857800.5,gdp_vol,Q
IDN,2022-Q1,2876278883.1,gdp_vol,Q
IDN,2022-Q2,2909986201.9,gdp_vol,Q
IDN,2022-Q3,2943232687.7,gdp_vol,Q
IDN,2022-Q4,2980725427.2,gdp_vol,Q
IDN,2023-Q1,3016871929.9,gdp_vol,Q
IDN,2023-Q2,3056593500.7,gdp_vol,Q
IDN,2023-Q3,3094933476.5,gdp_vol,Q
IDN,2023-Q4,3133053692.8,gdp_vol,Q
IDN,2024-Q1,3173046610.0,gdp_vol,Q
IDN,2024-Q2,3209381173.7,gdp_vol,Q
IDN,2024-Q3,3249343102.1,gdp_vol,Q
IDN,2024-Q4,3288761514.2,gdp_vol,Q
IDN,2025-Q1,3328465246.3,gdp_vol,Q
IDN,2025-Q2,3372887814.5,gdp_vol,Q
IDN,2025-Q3,3416222982.6,gdp_vol,Q
IDN,2025-Q4,3462948656.6,gdp_vol,Q
IDN,2026-Q1,3510282996.2,gdp_vol,Q
IND,2004-Q2,10787856.4,conh_vol,Q
IND,2004-Q3,11007880.0,conh_vol,Q
IND,2004-Q4,11251766.7,conh_vol,Q
IND,2005-Q1,11481715.9,conh_vol,Q
