code,date,e
CAN,1997-07-01,1.38512270258981
CAN,1997-10-01,1.40907171957672
CAN,1998-01-01,1.4309138791423
CAN,1998-04-01,1.4470510025062666
CAN,1998-07-01,1.5140519328624633
CAN,1998-10-01,1.5419569841269867
CAN,1999-01-01,1.5111867230273768
CAN,1999-04-01,1.4730151370851365
CAN,1999-07-01,1.4856114646190466
CAN,1999-10-01,1.4723361805555566
CAN,2000-01-01,1.4529737230445834
CAN,2000-04-01,1.47992881768182
CAN,2000-07-01,1.4818253343310233
CAN,2000-10-01,1.5256963786359299
CAN,2001-01-01,1.52809866673788
CAN,2001-04-01,1.5412242027353
CAN,2001-07-01,1.5449889515929531
CAN,2001-10-01,1.57930370995191
CAN,2002-01-01,1.5938500684301566
CAN,2002-04-01,1.5539821588160099
CAN,2002-07-01,1.5628998375892766
CAN,2002-10-01,1.5694145065502167
CAN,2003-01-01,1.50904486827482
CAN,2003-04-01,1.3973306178888898
CAN,2003-07-01,1.3794479799411798
CAN,2003-10-01,1.3156079022855767
CAN,2004-01-01,1.3175452707149067
CAN,2004-04-01,1.3588588500158734
CAN,2004-07-01,1.3075466073939432
CAN,2004-10-01,1.2204255102082
CAN,2005-01-01,1.2260236642504834
CAN,2005-04-01,1.2436201503860034
CAN,2005-07-01,1.20339566289209
CAN,2005-10-01,1.17378876871212
CAN,2006-01-01,1.1544556269251
CAN,2006-04-01,1.12238738079328
CAN,2006-07-01,1.12124238299379
CAN,2006-10-01,1.13918623923016
CAN,2007-01-01,1.17158821187154
CAN,2007-04-01,1.0986416590338166
CAN,2007-07-01,1.0453154448210134
CAN,2007-10-01,0.981721565928722
CAN,2008-01-01,1.0049289296363
CAN,2008-04-01,1.0106327644603172
CAN,2008-07-01,1.04246536796537
CAN,2008-10-01,1.21220724637681
CAN,2009-01-01,1.2454454545454534
CAN,2009-04-01,1.1670402597402598
CAN,2009-07-01,1.0971828533785033
CAN,2009-10-01,1.05583433716042
CAN,2010-01-01,1.0407692546583867
CAN,2010-04-01,1.0279278499278535
CAN,2010-07-01,1.0390303030303067
CAN,2010-10-01,1.01320230252839
CAN,2011-01-01,0.9861175983436853
CAN,2011-04-01,0.9678455988455991
CAN,2011-07-01,0.9797599598469157
CAN,2011-10-01,1.0227806637806633
CAN,2012-01-01,1.0009285714285696
CAN,2012-04-01,1.010145617667355
CAN,2012-07-01,0.9949096179183146
CAN,2012-10-01,0.9909711086015434
CAN,2013-01-01,1.0086259489302973
CAN,2013-04-01,1.0234950577200568
CAN,2013-07-01,1.0386554332141267
CAN,2013-10-01,1.0497271629336866
CAN,2014-01-01,1.1032825569358167
CAN,2014-04-01,1.09013759018759
CAN,2014-07-01,1.0888875682288768
CAN,2014-10-01,1.13646804347826
CAN,2015-01-01,1.2402801515151534
CAN,2015-04-01,1.2291999999999998
CAN,2015-07-01,1.3084866522366534
CAN,2015-10-01,1.3351281448020567
CAN,2016-01-01,1.3736898550724632
CAN,2016-04-01,1.2885130591630567
CAN,2016-07-01,1.3044267614028466
CAN,2016-10-01,1.3350069264069233
CAN,2017-01-01,1.32329442687747
CAN,2017-04-01,1.3446716600790534
CAN,2017-07-01,1.25321994478951
CAN,2017-10-01,1.2712158008658
CAN,2018-01-01,1.26488072463768
CAN,2018-04-01,1.2909274672187734
CAN,2018-07-01,1.3069306785243733
CAN,2018-10-01,1.32179312378443
CAN,2019-01-01,1.3297538854382334
CAN,2019-04-01,1.3374881291172598
CAN,2019-07-01,1.3206206976598267
CAN,2019-10-01,1.3199513896731265
CAN,2020-01-01,1.3439644927536234
CAN,2020-04-01,1.38609033189033
CAN,2020-07-01,1.3318872482589867
CAN,2020-10-01,1.3028995074973333
CAN,2021-01-01,1.2665789233954465
CAN,2021-04-01,1.2280338383838398
CAN,2021-07-01,1.2595636363636333
CAN,2021-10-01,1.2599745718050066
CAN,2022-01-01,1.2664365251897867
CAN,2022-04-01,1.2763859307359333
CAN,2022-07-01,1.3061427034318334
CAN,2022-10-01,1.3579455988455968
CAN,2023-01-01,1.35204859025033
CAN,2023-04-01,1.3430636495388668
CAN,2023-07-01,1.3410850931677
CAN,2023-10-01,1.3611703463203468
CAN,2024-01-01,1.34852739820566
CAN,2024-04-01,1.36828597496706
CAN,2024-07-01,1.3637690821256034
CAN,2024-10-01,1.3993572338289735
CAN,2025-01-01,1.4347650138026233
CAN,2025-04-01,1.3840510822510834
CAN,2025-07-01,1.3774572808833667
CAN,2025-10-01,1.3945717391304366
CAN,2026-01-01,1.3713633333333333
CAN,2026-04-01,1.3840945887445901
CAN,2026-07-01,1.41116086956522
CHE,1995-01-01,1.2432227330543466
CHE,1995-04-01,1.1542634248716868
CHE,1995-07-01,1.1804245309350667
CHE,1995-10-01,1.1504109086318166
CHE,1996-01-01,1.1907959688419933
CHE,1996-04-01,1.2438283326222235
CHE,1996-07-01,1.2226475531214633
CHE,1996-10-01,1.28725563837129
CHE,1997-01-01,1.43691145021645
CHE,1997-04-01,1.4447279076479067
CHE,1997-07-01,1.48401674987865
CHE,1997-10-01,1.43441284515637
CHE,1998-01-01,1.4761212121212133
CHE,1998-04-01,1.49210015873016
CHE,1998-07-01,1.46929329631721
CHE,1998-10-01,1.3610995670995667
CHE,1999-01-01,1.4263635869565234
CHE,1999-04-01,1.5144322871572866
CHE,1999-07-01,1.5274719677575765
CHE,1999-10-01,1.5426639869365066
CHE,2000-01-01,1.6280028641461366
CHE,2000-04-01,1.6734838441696966
CHE,2000-07-01,1.7075693167590769
CHE,2000-10-01,1.7427174963544034
CHE,2001-01-01,1.6625032858909101
CHE,2001-04-01,1.7496774145553797
CHE,2001-07-01,1.6902209796534933
CHE,2001-10-01,1.6453881967410335
CHE,2002-01-01,1.6808083170246035
CHE,2002-04-01,1.59270224208801
CHE,2002-07-01,1.4875381771448335
CHE,2002-10-01,1.46603695195111
CHE,2003-01-01,1.3657824348462466
CHE,2003-04-01,1.335404611501443
CHE,2003-07-01,1.3719559079280668
CHE,2003-10-01,1.3061218654577302
CHE,2004-01-01,1.2546901290391634
CHE,2004-04-01,1.2764553451551233
CHE,2004-07-01,1.2567817100606034
CHE,2004-10-01,1.1830437435368266
CHE,2005-01-01,1.18192071311156
CHE,2005-04-01,1.2269358891594535
CHE,2005-07-01,1.2739059371765167
CHE,2005-10-01,1.3009917718802333
CHE,2006-01-01,1.2961512587059965
CHE,2006-04-01,1.2441567312223967
