code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
SVN,2002-04-01,5750.1,3099.9,1088.5,1415.0,1438.6,3069.1,2953.5,552.9,514.0,181.3,166.4,319.9,307.1,1245.7,1326.0,78.8300453778978,77.45102938237058,72.51832111925383,77.03614982578398,76.92225430435248,85.77457309745395,81.01769304622137,92.86194155189789,65.72890025575448,67.77570093457943,83.07538691962057,112.24561403508773,86.02240896358545,71.99745694139406,74.39824945295405
SVN,2002-07-01,5873.8,3188.2,1106.5,1442.1,1483.5,3140.2,3060.5,545.6,545.2,176.0,166.8,342.8,315.3,1265.4,1364.3,79.79622333922022,79.18239618517782,73.1763772237286,77.45729938768933,77.3058884835852,85.976344321542,82.00037510382337,91.37497906548316,66.75645892004408,69.12804399057345,83.65095285857572,111.11831442463532,87.75396604508767,72.65315496354137,76.31166797180893
SVN,2002-10-01,6042.1,3277.6,1130.4,1506.5,1580.3,3198.0,3134.4,584.8,564.4,179.1,167.8,344.6,325.2,1291.2,1408.9,80.95097737107946,80.84854464726196,73.97421634709772,78.03273593701441,77.67510444826739,86.06491199741643,83.11412812897751,90.6104741245739,67.52811677434794,69.47245927075252,85.35096642929807,111.41286776592304,89.80944490472244,73.97731179099347,78.02082179643372
SVN,2003-01-01,6131.4,3332.9,1181.1,1517.9,1642.3,3173.1,3187.4,580.9,590.9,178.6,157.4,349.7,335.8,1329.3,1426.5,82.090211672089,81.95185522142172,77.10536623580101,78.93395735829434,79.25775783022056,86.90805510668018,83.9717582591285,92.79552715654953,68.51808905380334,70.81681205392546,85.54347826086956,112.91572489505974,92.35423542354236,75.02963255630185,78.72951045863458
SVN,2003-04-01,6278.4,3418.5,1189.1,1595.5,1654.7,3212.6,3214.8,621.3,629.8,177.7,158.6,366.3,341.3,1358.3,1456.9,83.24471964041845,81.97448563618052,77.06915548642166,80.49137322167289,80.30185382898185,87.82874952157034,82.99899310665323,93.95130802963858,70.17270194986071,71.74000807428341,88.8515406162465,114.50453266645827,92.44312026002169,75.98030989539632,79.66426071741033
SVN,2003-07-01,6416.5,3530.4,1209.2,1616.4,1730.4,3307.5,3346.0,633.6,628.5,180.2,160.9,372.3,340.0,1380.0,1503.9,84.19940687085005,83.75800711743773,77.94752787984271,81.19349005424955,80.69390039171796,87.89763214541975,83.38317384370015,93.06698002350176,71.27466545701974,72.74929350020186,89.83807928531547,114.02756508422664,92.11595773503116,77.18984226423538,81.11650485436893
SVN,2003-10-01,6518.4,3547.5,1222.4,1657.5,1767.0,3372.4,3388.0,650.4,650.0,188.1,168.8,417.6,343.2,1392.0,1516.5,84.91148540388448,84.11780048846418,78.30877642536836,82.33570115741891,81.907940481157,88.10512840609243,84.13837633794422,93.15382411916356,73.14054236525261,73.64917776037588,91.04638619201724,115.74279379157429,92.90741743367624,77.67857142857143,81.60245372363323
SVN,2004-01-01,6665.6,3563.9,1256.6,1742.8,1898.6,3474.6,3534.1,693.0,671.8,193.1,175.5,398.7,342.9,1389.2,1556.5,85.59028223631834,84.68941590228602,79.40098571970175,83.46343565921173,83.06063522617902,89.19980489307626,85.36473429951691,94.2728880424432,75.41535698248765,75.66614420062696,90.93264248704664,115.39797395079594,93.50968093809654,77.69140428387675,82.6518691588785
SVN,2004-04-01,6736.2,3637.1,1281.0,1750.4,2037.3,3697.9,3923.2,689.8,660.2,204.5,187.6,406.5,343.9,1406.7,1588.7,85.87929319972461,85.34187432540242,80.3890806401004,85.09479824987847,84.34627804918439,88.97310042827583,86.2488183437026,94.9614537444934,76.99125364431487,78.29249617151608,93.56608478802993,116.64275466284074,93.578231292517,78.06326304106548,83.56740834253853
SVN,2004-07-01,6871.8,3717.8,1318.9,1838.3,1985.4,3879.6,4010.8,696.6,707.9,226.5,188.9,435.1,348.9,1413.2,1617.0,86.73339307576772,85.89912432707192,81.97016780609074,86.65912412200065,85.52597570431635,90.8443778391795,87.56440485547114,93.5535858178888,79.99773985761104,79.44580848824972,92.91687161829807,116.0576153640971,95.19781718963164,77.9567519858782,84.01309294955058
