code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
JPN,1960-01-01,4099498.353965867,2093807.5563520663,470084.6401587701,1333744.5698453924,1536759.7654950712,412493.47395423683,405958.1195955037,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1960-04-01,4154223.9450462596,2133439.9748093938,500465.06811645266,1343864.4035771936,1499828.9476767106,426827.2240144227,401025.7042888382,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1960-07-01,4390809.380794003,2226055.909623243,510803.1276952729,1469108.9513221483,1656029.660436004,439947.5349160742,427925.16508498293,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1960-10-01,4603492.927947345,2311002.5622813376,538331.6771484533,1571080.9762343364,1762013.0925391123,448239.36916605826,433722.0243113733,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1961-01-01,4855733.559957711,2404203.0460399846,534291.515933742,1733957.6885599345,1983567.1723893275,441944.65353116184,471630.43267342605,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1961-04-01,5054870.9010185255,2502617.706386233,567840.6977853158,1805291.6847428153,2111900.222955133,447784.3294816079,524717.459273001,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1961-07-01,5251926.29024476,2612162.1786414417,593032.2912417514,1957770.0358027096,2219425.0080556693,452006.0865540083,567583.7077628875,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1961-10-01,5651093.237438353,2762367.875496823,640167.5054133841,2102604.3534321603,2428987.3615858993,465758.3970173965,572490.6982483845,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1962-01-01,5793693.418939335,2843035.6298789936,633394.2939651915,2126433.931332732,2408148.2690606806,495032.6167170353,534048.3686417959,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1962-04-01,5886029.33471974,2905418.6932678726,679974.9762053932,2168182.1139143836,2345939.2620845106,516672.2817108961,515437.3995465426,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1962-07-01,5923261.122722557,2966422.221147027,701878.9874969166,2200615.097862175,2251670.1127618505,538969.2262489629,505470.8696485381,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1962-10-01,6059777.678732882,3095397.1003273325,737963.1724636034,2236049.9896753635,2218376.8880174183,533710.9898953144,507784.52837486065,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1963-01-01,6259482.824839492,3225073.438241396,777097.2830531606,2264645.4831560496,2295537.019068634,533306.5101758031,549303.2613428232,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1963-04-01,6621201.677346156,3389448.601518689,810527.6366337135,2375747.0216794964,2497639.2240913156,555881.5345210341,598754.5385153198,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1963-07-01,6913972.774292049,3544985.384750631,826212.9684084754,2484682.234939254,2649863.246117246,585484.3939927759,657943.5221953057,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1963-10-01,7264497.755895906,3625770.0489217616,855365.5042322751,2658854.7861397984,2954157.1548693646,608286.938180232,708869.4389955682,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
